URL,Description
https://github.com/browserbase/mcp-server-browserbase," The Model Context Protocol (MCP) is an open protocol that enables seamless integration between LLM applications and external data sources and tools. Whether you’re building an AI-powered IDE, enhancing a chat interface, or creating custom AI workflows, MCP provides a standardized way to connect LLMs with the context they need. This server provides cloud browser automation capabilities using Browserbase, Puppeteer, and Stagehand. This server enables LLMs to interact with web pages, take scree..."
https://github.com/chroma-core/chroma-mcp," Chroma - the open-source embedding database. 
    The fastest way to build Python or JavaScript LLM apps with memory! |
  

 |
  
      Docs
   |
  
      Homepage"
https://github.com/ChronulusAI/chronulus-mcp,Claude for Desktop is currently available on macOS and Windows. Install Claude for Desktop here Follow the general instructions here to configure the Claude desktop client.
https://github.com/ClickHouse/mcp-clickhouse, An MCP server for ClickHouse. 
https://github.com/cloudflare/mcp-server-cloudflare,"Model Context Protocol (MCP) is a new, standardized protocol for managing context between large language models (LLMs) and external systems. In this repository, we provide an installer as well as an MCP Server for Cloudflare's API. This lets you use Claude Desktop, or any MCP Client, to use natural language to accomplish things on your Cloudflare account, e.g.: Run npx @cloudflare/mcp-server-cloudflare init"
https://github.com/comet-ml/opik-mcp,"A Model Context Protocol (MCP) implementation for the Opik platform with support for multiple transport mechanisms, enabling seamless integration with IDEs and providing a unified interface for Opik's capabilities.  Website •
    Slack community •
    Twitter •
    Documentation"
https://github.com/its-dart/dart-mcp-server, Dart is Project Management powered by AI. dart-mcp-server is the official AI Model Context Protocol (MCP) server for Dart.
https://github.com/devhub/devhub-cms-mcp, A Model Context Protocol (MCP) integration for managing content in the DevHub CMS system. You will need the uv package manager installed on your local system.
https://github.com/e2b-dev/mcp-server,  This repository contains the source code for the E2B MCP server.
https://github.com/EduBase/MCP,  This repository contains the implementation of the Model Context Protocol (MCP) server for the EduBase platform. It allows MCP clients (for example Claude Desktop) and LLMs to interact with your EduBase account and perform tasks on your behalf.
https://github.com/esignaturescom/mcp-server-esignatures,"MCP server for eSignatures (https://esignatures.com)  Generate a draft NDA contract for a publisher, which I can review and send. Signer: John Doe, ACME Corp, john@acme.com"
https://github.com/exa-labs/exa-mcp-server, A Model Context Protocol (MCP) server lets AI assistants like Claude use the Exa AI Search API for web searches. This setup allows AI models to get real-time web information in a safe and controlled way. Demo video https://www.loom.com/share/ac676f29664e4c6cb33a2f0a63772038?sid=0e72619f-5bfc-415d-a705-63d326373f60
https://github.com/Fewsats/fewsats-mcp,This MCP server integrates with Fewsats and allows AI Agents to purchase anything in a secure way. MCP is balance
https://github.com/Fibery-inc/fibery-mcp-server,"This MCP (Model Context Protocol) server provides integration between Fibery and any LLM provider supporting the MCP protocol (e.g., Claude for Desktop), allowing you to interact with your Fibery workspace using natural language. Add this configuration to your MCP client config file. In Claude Desktop, you can access the config in Settings → Developer → Edit Config:"
https://github.com/financial-datasets/mcp-server,"This is a Model Context Protocol (MCP) server that provides access to stock market data from Financial Datasets. It allows Claude and other AI assistants to retrieve income statements, balance sheets, cash flow statements, stock prices, and market news directly through the MCP interface. This MCP server provides the following tools:"
https://github.com/mendableai/firecrawl-mcp-server,"A Model Context Protocol (MCP) server implementation that integrates with Firecrawl for web scraping capabilities. Big thanks to @vrknetha, @cawstudios for the initial implementation! You can also play around with our MCP Server on MCP.so's playground. Thanks to MCP.so for hosting and @gstarwd for integrating our server."
https://github.com/fireproof-storage/mcp-database-server,"This is a simple example of how to use a Fireproof database in a Model Context Protocol server (used for plugging code and data into A.I. systems such as Claude Desktop). This demo server implements a basic JSON document store with CRUD operations (Create, Read, Update, Delete) and the ability to query documents sorted by any field. Install dependencies:"
https://github.com/oschina/mcp-gitee,"Gitee MCP Server is a Model Context Protocol (MCP) server implementation for Gitee. It provides a set of tools for interacting with Gitee's API, allowing AI assistants to manage repositories, issues, pull requests, and more. Clone the repository: Build the project:"
https://github.com/gotohuman/gotohuman-mcp-server,"Let your AI agents ask for human reviews in gotoHuman via MCP.
Review AI-generated content, approve critical actions or provide input.
An async webhook-based workflow for autonomous agents and AI automations. This is Cursor on the left, but this could be a background agent that also reacts to the approval webhook to add an item to your list of newsletter ideas. Get your API key and set up your review forms at app.gotohuman.com"
https://github.com/grafana/mcp-grafana,"A Model Context Protocol (MCP) server for Grafana. This provides access to your Grafana instance and the surrounding ecosystem. The list of tools is configurable, so you can choose which tools you want to make available to the MCP client.
This is useful if you don't use certain functionality or if you don't want to take up too much of the context window."
https://github.com/graphlit/graphlit-mcp-server," The Model Context Protocol (MCP) Server enables integration between MCP clients and the Graphlit service. This document outlines the setup process and provides a basic example of using the client. Ingest anything from Slack, Discord, websites, Google Drive, email, Jira, Linear or GitHub into a Graphlit project - and then search and retrieve relevant knowledge within an MCP client like Cursor, Windsurf, Goose or Cline."
https://github.com/GreptimeTeam/greptimedb-mcp-server,"A Model Context Protocol (MCP) server implementation for GreptimeDB. This server provides AI assistants with a secure and structured way to explore and analyze databases. It enables them to list tables, read data, and execute SQL queries through a controlled interface, ensuring responsible database access. Set the following environment variables:"
https://github.com/aliyun/alibabacloud-hologres-mcp-server,"Hologres MCP Server serves as a universal interface between AI Agents and Hologres databases. It enables seamless communication between AI Agents and Hologres, helping AI Agents retrieve Hologres database metadata and execute SQL operations. Download from Github Add the following configuration to the MCP client configuration file:"
https://github.com/hyperbrowserai/mcp,"  This is Hyperbrowser's Model Context Protocol (MCP) Server. It provides various tools to scrape, extract structured data, and crawl webpages. It also provides easy access to general purpose browser agents like OpenAI's CUA, Anthropic's Claude Computer Use, and Browser Use."
https://github.com/IBM/wxflows/tree/main/examples/mcp/javascript,"Here's a step-by-step tutorial for setting up and deploying a project with wxflows, including installing necessary tools, deploying the app, and running it locally. This example consists of the following pieces: You can use any of the supported MCP clients."
https://github.com/jamsocket/forevervm/tree/main/javascript/mcp-server,"MCP Server for ForeverVM, enabling Claude to execute code in a Python REPL. Run the following command: For other MCP clients, see the docs."
https://github.com/elie222/inbox-zero/tree/main/apps/mcp-server,"An MCP server to manage your inbox efficiently. Use it within Cursor, Windsurf, or Claude desktop to interact with your Inbox Zero personal assistant. From this directory: Then use the MCP at path apps/mcp-server/build/index.js in Cursor or Claude Desktop. Note, use the full path."
https://github.com/inkeep/mcp-server-python,"Inkeep MCP Server powered by your docs and product content. Note the full path of the project, referred to as <YOUR_INKEEP_MCP_SERVER_ABSOLUTE_PATH> in a later step. We'll refer to this API key as the <YOUR_INKEEP_API_KEY> in later steps."
https://github.com/integration-app/mcp-server,"This is an implementation of the Model Context Protocol (MCP) server that exposes tools powered by Integration App. This server uses Actions defined in an Integration App workspace as tools.
To understand how this works and how to effectively manage tools for each application, please refer to the Using Tools guide. You need to provide two environment variables to the server:"
https://github.com/JetBrains/mcp-jetbrains, The server proxies requests from client to JetBrains IDE. https://plugins.jetbrains.com/plugin/26071-mcp-server
https://github.com/kagisearch/kagimcp," Before anything, unless you are just using non-search tools, ensure you have access to the search API. It is currently in closed beta and available upon request. Please reach out to support@kagi.com for an invite. Install uv first."
https://github.com/keboola/keboola-mcp-server, A Model Context Protocol (MCP) server for interacting with Keboola Connection. This server provides tools for listing and accessing data from Keboola Storage API. To install Keboola Explorer for Claude Desktop automatically via Smithery:
https://github.com/pydantic/logfire-mcp,"This repository contains a Model Context Protocol (MCP) server with tools that can access the OpenTelemetry traces and
metrics you've sent to Logfire. This MCP server enables LLMs to retrieve your application's telemetry data, analyze distributed
traces, and make use of the results of arbitrary SQL queries executed using the Logfire APIs. find_exceptions - Get exception counts from traces grouped by file"
https://github.com/langfuse/mcp-server-langfuse,Model Context Protocol (MCP) Server for Langfuse Prompt Management. This server allows you to access and manage your Langfuse prompts through the Model Context Protocol. Quick demo of Langfuse Prompts MCP in Claude Desktop (unmute for voice-over explanations): This server implements the MCP Prompts specification for prompt discovery and retrieval.
https://github.com/lingodotdev/lingo.dev/blob/main/mcp.md,"The Model Context Protocol (MCP) is a standard for connecting Large Language Models (LLMs) to external services. This guide will walk you through how to connect AI tools to Lingo.dev using MCP. Some of the AI tools that support MCP are: Connecting these tools to Lingo.dev will allow you to translate apps, websites, and other data using the best LLM models directly in your AI tool."
https://github.com/mailgun/mailgun-mcp-server," A Model Context Protocol (MCP) server implementation for Mailgun, enabling MCP-compatible AI clients like Claude Desktop to interract with the service. Clone the repository:"
https://github.com/integromat/make-mcp-server,"A Model Context Protocol server that enables Make scenarios to be utilized as tools by AI assistants. This integration allows AI systems to trigger and interact with your Make automation workflows. The MCP server: To use this server with the Claude Desktop app, add the following configuration to the ""mcpServers"" section of your claude_desktop_config.json:"
https://github.com/meilisearch/meilisearch-mcp,A Model Context Protocol (MCP) server for interacting with Meilisearch through LLM interfaces like Claude.  The server provides tools to view and update connection settings at runtime:
https://github.com/metoro-io/metoro-mcp-server, This repository contains th Metoro MCP (Model Context Protocol) Server. This MCP Server allows you to interact with your Kubernetes cluster via the Claude Desktop App! You can read more about the Model Context Protocol here: https://modelcontextprotocol.io
https://github.com/zilliztech/mcp-server-milvus,"The Model Context Protocol (MCP) is an open protocol that enables seamless integration between LLM applications and external data sources and tools. Whether you're building an AI-powered IDE, enhancing a chat interface, or creating custom AI workflows, MCP provides a standardized way to connect LLMs with the context they need. This repository contains a MCP server that provides access to Milvus vector database functionality. "
https://github.com/motherduckdb/mcp-server-motherduck,"An MCP server implementation that integrates MotherDuck and local DuckDB, providing SQL analytics capabilities to Claude. The server provides one prompt: The server offers one tool:"
https://github.com/needle-ai/needle-mcp, MCP (Model Context Protocol) server to manage documents and perform searches using Needle through Claude’s Desktop Application. Needle MCP Server allows you to:
https://github.com/neo4j-contrib/mcp-neo4j/,"Model Context Protocol (MCP) is a standardized protocol for managing context between large language models (LLMs) and external systems. This lets you use Claude Desktop, or any other MCP Client (VS Code, Cursor, Windsurf), to use natural language to accomplish things with Neo4j and your Aura account, e.g.: Details in Readme"
https://github.com/neondatabase/mcp-server-neon," Model Context Protocol (MCP) is a new, standardized protocol for managing context between large language models (LLMs) and external systems. In this repository, we provide an installer as well as an MCP Server for Neon. This lets you use Claude Desktop, or any MCP Client, to use natural language to accomplish things with Neon, e.g.:"
https://github.com/oceanbase/mcp-oceanbase,MCP Server for OceanBase database and its tools English | 简体中文 This repository contains MCP Servers as following:
https://github.com/OctagonAI/octagon-mcp-server,"A Model Context Protocol (MCP) server implementation that integrates with Octagon Market Intelligence API. To use Octagon MCP, you need to: Configuring Cursor 🖥️
Note: Requires Cursor version 0.45.6+"
https://github.com/oxylabs/oxylabs-mcp," A Model Context Protocol (MCP) server that enables AI assistants like Claude to seamlessly access web data through Oxylabs' powerful web scraping technology. The Oxylabs MCP server provides a bridge between AI models and the web. It enables them to scrape any URL, render JavaScript-heavy pages, extract and format content for AI use, bypass anti-scraping measures, and access geo-restricted web data from 195+ countries."
https://github.com/qdrant/mcp-server-qdrant/," The Model Context Protocol (MCP) is an open protocol that enables
seamless integration between LLM applications and external data sources and tools. Whether you're building an
AI-powered IDE, enhancing a chat interface, or creating custom AI workflows, MCP provides a standardized way to
connect LLMs with the context they need. This repository is an example of how to create a MCP server for Qdrant, a vector search engine."
https://github.com/ramp-public/ramp-mcp,"A Model Context Protocol server for retrieving and analyzing data or running tasks for Ramp using Developer API. In order to get around token and input size limitations, this server implements a simple ETL pipeline + ephemeral sqlite database in memory for analysis by an LLM. All requests are made to demo by default, but can be changed by setting RAMP_ENV=prd. Large datasets may not be processable due to API and/or your MCP client limitations. Tools that can be used to setup, process, query, ..."
https://github.com/MindscapeHQ/mcp-server-raygun,MCP Server for Raygun's API V3 endpoints for interacting with your Crash Reporting and Real User Monitoring applications. This server provides comprehensive access to Raygun's API features through the Model Context Protocol. The server requires the following environment variables: Add to your claude_desktop_config.json:
https://github.com/rember/rember-mcp,Allow Claude to create flashcards for you with the official Model Context Protocol (MCP) for Rember. Rember helps you study and remember anything you care about by scheduling spaced repetition reviews. Features and examples: 
https://github.com/riza-io/riza-mcp,"Riza offers an isolated code interpreter for your LLM-generated code. Our MCP server implementation wraps the Riza API and presents
endpoints as individual tools. Configure with Claude Desktop as below, or adapt as necessary for your MCP client. Get a free Riza API key in your Riza Dashboard."
https://github.com/fatwang2/search1api-mcp,中文文档 A Model Context Protocol (MCP) server that provides search and crawl functionality using Search1API. Clone the repository:
https://github.com/screenshotone/mcp/,An official implementation of an MCP (Model Context Protocol) server for ScreenshotOne. A few more words about why it was built and some thoughts about the future of MCP. Always install dependencies and build it first:
https://github.com/semgrep/mcp,  
https://github.com/singlestore-labs/mcp-server-singlestore," Model Context Protocol (MCP) is a standardized protocol designed to manage context between large language models (LLMs) and external systems. This repository provides an installer and an MCP Server for Singlestore, enabling seamless integration. With MCP, you can use Claude Desktop or any compatible MCP client to interact with SingleStore using natural language, making it easier to perform complex operations effortlessly."
https://github.com/StarRocks/mcp-server-starrocks,"The StarRocks MCP Server acts as a bridge between AI assistants and StarRocks databases, allowing for direct SQL execution and database exploration without requiring complex setup or configuration. MCP server config If mcp-server-starrocks is not installed as python package(in dev env), can run using local dir"
https://github.com/tavily-ai/tavily-mcp," 🔌 Compatible with Cline, Cursor, Claude Desktop, and any other MCP Clients! Tavily MCP is also compatible with any MCP client"
https://github.com/thirdweb-dev/ai/tree/main/python/thirdweb-mcp,A Model Context Protocol (MCP) server implementation for thirdweb services integration. This server allows you to integrate thirdweb's tools with any MCP-compatible client. thirdweb MCP provides a unified interface to access thirdweb's suite of blockchain tools and services through the standardized Model Context Protocol. It supports multiple communication transports and can be integrated with various thirdweb services: The thirdweb MCP server requires configuration based on which services yo...
https://github.com/tinybirdco/mcp-tinybird, An MCP server to interact with a Tinybird Workspace from any MCP client. 
https://github.com/unifai-network/unifai-mcp-server,UnifAI MCP servers are now part of the UnifAI SDKs: UnifAI TypeScript MCP Server and
https://github.com/Unstructured-IO/UNS-MCP,"An MCP server implementation for interacting with the Unstructured API. This server provides tools to list sources and workflows. Below is a list of connectors the UNS-MCP server currently supports, please see the full list of source connectors that Unstructured platform supports here and destination list here. We are planning on adding more! To use the tool that creates/updates/deletes a connector, the credentials for that specific connector must be defined in your .env file. Below is the li..."
https://github.com/vectorize-io/vectorize-mcp-server/,"A Model Context Protocol (MCP) server implementation that integrates with Vectorize for advanced Vector retrieval and text extraction. For one-click installation, click one of the install buttons below: "
https://github.com/Verodat/verodat-mcp-server," A Model Context Protocol (MCP) server implementation for Verodat, enabling seamless integration of Verodat's data management capabilities with AI systems like Claude Desktop. "
https://github.com/VeyraX/veyrax-mcp,"Below is a sample README.md that you can use on GitHub to introduce and document VeyraX MCP. Simply copy, paste, and adjust as needed! Single tool to control them all — VeyraX MCP is the only connection you need to access all your tools in any MCP-compatible environment. VeyraX MCP (Model Context Protocol) is an open protocol that allows you to provide custom tools to agentic LLMs. By connecting once to the VeyraX platform, you can use all tools you’ve already integrated with VeyraX in any MC..."
https://github.com/XeroAPI/xero-mcp-server,"This is a Model Context Protocol (MCP) server implementation for Xero. It provides a bridge between the MCP protocol and Xero's API, allowing for standardized access to Xero's accounting and business features. Set up a Custom Connection following these instructions: https://developer.xero.com/documentation/guides/oauth2/custom-connections/ Currently the following scopes are required:
accounting.transactions accounting.contacts accounting.settings.read"
https://github.com/zenml-io/mcp-zenml,"This project implements a Model Context Protocol
(MCP) server for interacting with
the ZenML API.  The Model Context Protocol (MCP) is an open protocol that standardizes how
applications provide context to Large Language Models (LLMs). It acts like a
""USB-C port for AI applications"" - providing a standardized way to connect AI
models to different data sources and tools."
https://github.com/Simon-Kansara/ableton-live-mcp-server,"The Ableton Live MCP Server is a server implementing the
Model Context Protocol (MCP) to facilitate
communication between LLMs and Ableton Live. It uses OSC (Open Sound
Control) to send and receive messages to/from Ableton Live. It is based on
AbletonOSC implementation and
exhaustively maps available OSC adresses to
tools accessible to
MCP clients.  This project consists of two main components:"
https://github.com/openbnb-org/mcp-server-airbnb, MCP Server for searching Airbnb and get listing details. airbnb_search
https://github.com/GoPlausible/algorand-mcp," Model context protocol or MCP, is an open protocol that standardizes how applications provide context to LLMs. MCP provides specification standards to give LLMs tools, resources and instructions to be more useful and effective. "
https://github.com/yangkyeongmo/mcp-server-apache-airflow," A Model Context Protocol (MCP) server implementation for Apache Airflow, enabling seamless integration with MCP clients. This project provides a standardized way to interact with Apache Airflow through the Model Context Protocol. This project implements a Model Context Protocol server that wraps Apache Airflow's REST API, allowing MCP clients to interact with Airflow in a standardized way. It uses the official Apache Airflow client library to ensure compatibility and maintainability."
https://github.com/domdomegg/airtable-mcp-server," A Model Context Protocol server that provides read and write access to Airtable databases. This server enables LLMs to inspect database schemas, then read and write records. To use this server with the Claude Desktop app, add the following configuration to the ""mcpServers"" section of your claude_desktop_config.json:"
https://github.com/felores/airtable-mcp,"A Model Context Protocol server that provides tools for interacting with Airtable's API. This server enables programmatic management of Airtable bases, tables, fields, and records through Claude Desktop or other MCP clients. This MCP server features a specialized implementation that allows it to build tables in stages, leveraging Claude's agentic capabilities and minimizing the failure rate typically seen in other MCP servers for Airtable when building complex tables. It also includes system ..."
https://github.com/scorzeth/anki-mcp-server,"An MCP server implementation that connects to a locally running Anki, providing card review and creation. This server is designed to work with the Anki desktop app and the Anki-Connect add-on. Make sure you have the add-on installed before using."
https://github.com/pyroprompts/any-chat-completions-mcp,"Integrate Claude with Any OpenAI SDK Compatible Chat Completion API - OpenAI, Perplexity, Groq, xAI, PyroPrompts and more. This implements the Model Context Protocol Server. Learn more: https://modelcontextprotocol.io This is a TypeScript-based MCP server that implements an implementation into any OpenAI SDK Compatible Chat Completions API."
https://github.com/Omar-v2/mcp-ical,🗓️ Natural Language Calendar Management for macOS  Transform how you interact with your macOS calendar using natural language! The mcp-ical server leverages the Model Context Protocol (MCP) to turn your calendar management into a conversational experience.
https://github.com/ravenwits/mcp-server-arangodb, A Model Context Protocol server for ArangoDB This is a TypeScript-based MCP server that provides database interaction capabilities through ArangoDB. It implements core database operations and allows seamless integration with ArangoDB through MCP tools. You can use it wih Claude app and also extension for VSCode that works with mcp like Cline!
https://github.com/sooperset/mcp-atlassian, Model Context Protocol (MCP) server for Atlassian products (Confluence and Jira). This integration supports both Confluence & Jira Cloud and Server/Data Center deployments. 
https://github.com/rishikavikondala/mcp-server-aws, A Model Context Protocol server implementation for AWS operations that currently supports S3 and DynamoDB services. All operations are automatically logged and can be accessed through the audit://aws-operations resource endpoint. See a demo video here.
https://github.com/lishenxydlgzs/aws-athena-mcp, A Model Context Protocol (MCP) server for running AWS Athena queries. This server enables AI assistants to execute SQL queries against your AWS Athena databases and retrieve results. Configure AWS credentials using one of the following methods:
https://github.com/aarora79/aws-cost-explorer-mcp-server,"An MCP server for getting AWS spend data via Cost Explorer and Amazon Bedrock usage data via Model invocation logs in Amazon Cloud Watch through Anthropic's MCP (Model Control Protocol). See section on ""secure"" remote MCP server to see how you can run your MCP server over HTTPS. You can run the MCP server locally and access it via the Claude Desktop or you could also run a Remote MCP server on Amazon EC2 and access it via a MCP client built into a LangGraph Agent. "
https://github.com/baryhuang/mcp-server-aws-resources-python," A Model Context Protocol (MCP) server implementation that provides running generated python code to query any AWS resources through boto3. At your own risk:
I didn't limit the operations to ReadyOnly, so that cautious Ops people can be helped using this tool doing management operations. Your AWS user role will dictate the permissions for what you can do."
https://github.com/aws-samples/sample-mcp-server-s3,"An MCP server implementation for retrieving  data such as PDF's from S3. Expose AWS S3 Data through Resources. (think of these sort of like GET endpoints; they are used to load information into the LLM's context). Currently only PDF documents supported and limited to 1000 objects. On MacOS: ~/Library/Application\ Support/Claude/claude_desktop_config.json
On Windows: %APPDATA%/Claude/claude_desktop_config.json"
https://github.com/pab1it0/adx-mcp-server,"A Model Context Protocol (MCP) server for Azure Data Explorer. This provides access to your Azure Data Explorer clusters and databases through standardized MCP interfaces, allowing AI assistants to execute KQL queries and explore your data. Execute KQL queries against Azure Data Explorer"
https://github.com/Vortiago/mcp-azure-devops,"A Model Context Protocol (MCP) server enabling AI assistants to interact with Azure DevOps services. This project implements a Model Context Protocol (MCP) server that allows AI assistants (like Claude) to interact with Azure DevOps, providing a bridge between natural language interactions and the Azure DevOps REST API. Currently implemented:"
https://github.com/baidubce/app-builder/tree/master/python/mcp_server/ai_search,"Baidu AI Search component combines Baidu's search capabilities with large language model technology to provide intelligent responses with real-time web information references, supporting various industry application scenarios. It offers rich standardized capabilities such as: For more details, please refer to 百度AI搜索"
https://github.com/magnetai/mcp-free-usdc-transfer,"An MCP server implementation enabling free USDC transfers on Base with Coinbase CDP MPC Wallet integration. This MCP server is licensed under the MIT License. This means you are free to use, modify, and distribute the software, subject to the terms and conditions of the MIT License. For more details, please see the LICENSE file in the project repository. Crafted by Magnet Labs with our vibrant AI & Crypto community"
https://github.com/LucasHild/mcp-server-bigquery, A Model Context Protocol server that provides access to BigQuery. This server enables LLMs to inspect database schemas and execute queries. The server implements one tool:
https://github.com/ergut/mcp-bigquery-server," This is a server that lets your LLMs (like Claude) talk directly to your BigQuery data! Think of it as a friendly translator that sits between your AI assistant and your database, making sure they can chat securely and efficiently. No more writing SQL queries by hand - just chat naturally with your data!"
https://github.com/leehanchung/bing-search-mcp,"A Model Context Protocol (MCP) server for Microsoft Bing Search API integration, allowing AI assistants to perform web, news, and image searches.  "
https://github.com/lloydzhou/bitable-mcp,"This MCP server provides access to Lark Bitable through the Model Context Protocol. It allows users to interact with Bitable tables using predefined tools. To install and configure the server, use the following command: Replace your_personal_base_token and your_app_token with your actual tokens."
https://github.com/ahujasid/blender-mcp,"BlenderMCP connects Blender to Claude AI through the Model Context Protocol (MCP), allowing Claude to directly interact with and control Blender. This integration enables prompt assisted 3D modeling, scene creation, and manipulation. Full tutorial Give feedback, get inspired, and build on top of the MCP: Discord"
https://github.com/co-browser/browser-use-mcp-server,"browser-use MCP Server with SSE
transport when building the docker image, you can use Docker secrets for VNC password: the dockerfile has a vnc server with a default password of browser-use. connect
to it:"
https://github.com/TermiX-official/bsc-mcp,"A plug-and-play MCP tool server to send BNB, transfer BEP-20 tokens, deploy tokens, and interact with smart contracts on the Binance Smart Chain (BSC) — built for Claude Desktop, AI agents, and developers. You’ll be prompted to enter: After CLI setup, the tool can auto-configure itself into Claude Desktop."
https://github.com/githejie/mcp-server-calculator,"A Model Context Protocol server for calculating. This server enables LLMs to use calculator for precise numerical calculations. When using uv no specific installation is needed. We will
use uvx to directly run mcp-server-calculator. Alternatively you can install mcp-server-calculator via pip:"
https://github.com/lenwood/cfbd-mcp-server,An MCP server implementation providing access to college football statistics sourced from the College Football Data API within Claude Desktop.  This Model Context Protocol (MCP) server enables AI assistants and applications to:
https://github.com/AI-QL/chat-mcp,"This desktop application utilizes the MCP (Model Context Protocol) to seamlessly connect and interact with various Large Language Models (LLMs). Built on Electron, the app ensures full cross-platform compatibility, enabling smooth operation across different operating systems. The primary objective of this project is to deliver a clean, minimalistic codebase that simplifies understanding the core principles of MCP. Additionally, it provides a quick and efficient way to test multiple servers an..."
https://github.com/mcpso/mcp-server-chatsum,This MCP Server is used to summarize your chat messages. 中文说明 
https://github.com/felores/cloudinary-mcp-server,This MCP server provides tools for uploading images and videos to Cloudinary through Claude Desktop and compatible MCP clients.  Navigate to the Claude configuration directory:
https://github.com/bazinga012/mcp_code_executor, The MCP Code Executor is an MCP server that allows LLMs to execute Python code within a specified Conda environment. This enables LLMs to run code with access to libraries and dependencies defined in the Conda environment. 
https://github.com/Automata-Labs-team/code-sandbox-mcp, A secure sandbox environment for executing code within Docker containers. This MCP server provides AI applications with a safe and isolated environment for running code while maintaining security through containerization. The installer will:
https://github.com/topoteretes/cognee/tree/main/cognee-mcp,Clone the cognee repo Install dependencies The file should be located here: ~/Library/Application\ Support/Claude/
https://github.com/longmans/coin_api_mcp," A Model Context Protocol server that provides access to CoinMarketCap's cryptocurrency data. This server enables AI-powered applications to retrieve cryptocurrency listings, quotes, and detailed information about various coins. listing-coins - Fetches a paginated list of all active cryptocurrencies with the latest market data."
https://github.com/ivo-toby/contentful-mcp," An MCP server implementation that integrates with Contentful's Content Management API, providing comprehensive content management capabilities. "
https://github.com/kukapay/crypto-feargreed-mcp,"A mcp server that provides real-time and historical Crypto Fear & Greed Index data, powered by the Alternative.me. This server exposes resources and tools for fetching and analyzing the Fear & Greed Index, making it easy to integrate into MCP-compatible clients, including Claude Desktop. "
https://github.com/kukapay/cryptopanic-mcp-server,"Provide the latest cryptocurrency news to AI agents, powered by CryptoPanic. The server implements only one tool: Example Output:"
